investor_name,investor_permalink,country_code,state_code,region,city,investment_count,funding_round_types,num_portfolio_companies
Sequoia Capital,/organization/sequoia-capital,USA,CA,SF Bay Area,Menlo Park,1033,angel|convertible_note|debt_financing|post_ipo_equity|private_equity|seed|undisclosed|venture,602
Wayra,/organization/wayra,ESP,29,Madrid,Madrid,936,angel|convertible_note|debt_financing|equity_crowdfunding|grant|product_crowdfunding|seed|venture,467
500 Startups,/organization/500-startups,USA,CA,SF Bay Area,Mountain View,932,angel|convertible_note|product_crowdfunding|seed|undisclosed|venture,757
New Enterprise Associates,/organization/new-enterprise-associates,USA,CA,SF Bay Area,Menlo Park,902,angel|convertible_note|debt_financing|post_ipo_equity|private_equity|seed|undisclosed|venture,550
Intel Capital,/organization/intel-capital,USA,CA,SF Bay Area,Santa Clara,861,convertible_note|debt_financing|private_equity|seed|undisclosed|venture,610
Y Combinator,/organization/y-combinator,USA,CA,SF Bay Area,Mountain View,826,angel|convertible_note|debt_financing|product_crowdfunding|seed|undisclosed|venture,754
Accel,/organization/accel-partners,USA,CA,SF Bay Area,Palo Alto,779,angel|debt_financing|equity_crowdfunding|grant|post_ipo_equity|private_equity|secondary_market|seed|undisclosed|venture,456
Start-Up Chile,/organization/start-up-chile,CHL,12,Santiago,Santiago,727,angel|convertible_note|grant|non_equity_assistance|seed|undisclosed|venture,694
Kleiner Perkins Caufield & Byers,/organization/kleiner-perkins-caufield-byers,USA,CA,SF Bay Area,Menlo Park,727,angel|debt_financing|private_equity|seed|undisclosed|venture,406
SV Angel,/organization/sv-angel,USA,CA,SF Bay Area,San Francisco,625,angel|convertible_note|debt_financing|seed|undisclosed|venture,550
Draper Fisher Jurvetson (DFJ),/organization/draper-fisher-jurvetson,USA,CA,SF Bay Area,Menlo Park,611,angel|debt_financing|private_equity|seed|undisclosed|venture,340
Techstars,/organization/techstars,USA,CO,Denver,Boulder,537,angel|convertible_note|debt_financing|seed|undisclosed|venture,485
First Round,/organization/first-round-capital,USA,CA,SF Bay Area,San Francisco,492,angel|convertible_note|debt_financing|seed|undisclosed|venture,267
Bessemer Venture Partners,/organization/bessemer-venture-partners,USA,CA,SF Bay Area,Menlo Park,462,angel|debt_financing|private_equity|seed|undisclosed|venture,279
Index Ventures,/organization/index-ventures,CHE,7,Geneva,Geneva,459,angel|equity_crowdfunding|post_ipo_equity|private_equity|seed|undisclosed|venture,284
SOSV,/organization/sosventures,USA,NJ,Newark,Princeton,440,angel|convertible_note|debt_financing|grant|private_equity|seed|undisclosed|venture,362
